,state,year,spirits,unemp,income,emppop,beertax,baptist,mormon,drinkage,dry,youngdrivers,miles,breath,jail,service,fatal,nfatal,sfatal,fatal1517,nfatal1517,fatal1820,nfatal1820,fatal2124,nfatal2124,afatal,pop,pop1517,pop1820,pop2124,milestot,unempus,emppopus,gsp
1,al,1982,1.370000005,14.39999962,10544.15234,50.69203949,1.539379478,30.35569954,0.328289986,19,25.00629997,0.211572006,7233.887207,no,no,no,839,146,99,53,9,99,34,120,32,309.4379883,3942002.25,208999.5938,221553.4375,290000.0625,28516,9.699999809,57.79999924,-0.02212476
2,al,1983,1.360000014,13.69999981,10732.79785,52.14702988,1.788990736,30.33359909,0.343409985,19,22.99419975,0.210767999,7836.347656,no,no,no,930,154,98,71,8,108,26,124,35,341.8340149,3960008,202000.0781,219125.4688,290000.1563,31032,9.600000381,57.90000153,0.046558253
3,al,1984,1.320000052,11.10000038,11108.79102,54.16808701,1.714285612,30.31150055,0.359239995,19,24.04260063,0.211484,8262.990234,no,no,no,932,165,94,49,7,103,25,118,34,304.8720093,3988991.75,196999.9688,216724.0938,288000.1563,32961,7.5,59.50000381,0.062797837
4,al,1985,1.279999971,8.899999619,11332.62695,55.27113724,1.652542353,30.28949928,0.37579,19.67000008,23.63389969,0.211140007,8726.916992,no,no,no,882,146,98,66,9,100,23,114,45,276.7420044,4021007.75,194999.7344,214349.0313,284000.3125,35091,7.199999809,60.10000229,0.027489973
5,al,1986,1.230000019,9.800000191,11661.50684,56.51449585,1.609907031,30.26740074,0.393110007,21,23.4647007,0.213400006,8952.853516,no,no,no,1081,172,119,82,10,120,23,119,29,360.7160034,4049993.75,203999.8906,212000,263000.2813,36259,7,60.70000076,0.032142948
6,al,1987,1.179999948,7.800000191,11944,57.50988007,1.559999943,30.24530029,0.411229998,21,23.79240036,0.215526998,9166.301758,no,no,no,1110,181,114,94,11,127,31,138,30,368.42099,4082999,204999.8125,208998.4531,258999.7656,37426,6.199999809,61.5,0.048976373
7,al,1988,1.169999957,7.199999809,12368.62402,56.83452988,1.501443624,30.22330093,0.430180013,21,23.79240036,0.218327999,9674.323242,no,no,no,1023,139,89,66,8,105,24,123,25,298.321991,4101992.25,201000.125,193000.5156,262999.7813,39684,5.5,62.30000305,0.035391819
8,az,1982,1.970000029,9.899999619,12309.06934,56.89329529,0.214797139,3.958899975,4.919099808,19,0,0.209012002,6810.156738,no,yes,yes,724,131,76,40,7,81,16,96,36,173.6679993,2896996.5,140999.9844,156378.7031,217999.9844,19729,9.699999809,57.79999924,-0.0431819
9,az,1983,1.899999976,9.100000381,12693.80762,57.55363083,0.206422031,3.890100002,4.831069946,19,0,0.203854993,6587.494629,no,yes,yes,675,112,60,40,7,83,19,80,17,196.8899994,2977004.25,138999.8906,157521.4375,218999.8906,19611,9.600000381,57.90000153,0.076205537
10,az,1984,2.140000105,5,13265.93359,60.37902069,0.296703309,3.822599888,4.744609833,19,0,0.209126994,6709.970215,no,yes,yes,869,149,81,51,8,118,34,123,33,212.3609924,3071995.75,138000.0781,158672.5313,219999.9688,20613,7.5,59.50000381,0.106213972
11,az,1985,1.860000014,6.5,13726.69531,58.64853287,0.381355941,3.756200075,4.65970993,21,0,0.188428,6771.262695,no,yes,yes,893,150,75,48,11,100,26,121,30,225.8240051,3186998,140000.0625,159832.0313,220000,21580,7.199999809,60.10000229,0.078195602
12,az,1986,1.779999971,6.900000095,14107.32715,60.28018188,0.371517032,3.690999985,4.576320171,21,0,0.171538994,8129.007813,no,yes,yes,1007,173,85,72,19,104,30,130,25,242.8269958,3278998,148000.1406,161000,210999.9063,26655,7,60.70000076,0.067712516
13,az,1987,1.720000029,6.199999809,14241,60.21505737,0.360000014,3.626899958,4.494420052,21,0,0.168724,9370.654297,no,yes,yes,937,172,87,50,16,99,25,121,34,241.7799988,3385996.25,149000.2188,162000.2969,211999.9063,31729,6.199999809,61.5,0.064111322
14,az,1988,1.679999948,6.300000191,14408.08496,60.49766541,0.346487015,3.563999891,4.413990021,21,0,0.161005005,9815.720703,no,yes,yes,944,136,67,54,14,100,14,116,31,238.2339935,3488995,147999.9375,157000.6563,218000.0469,34247,5.5,62.30000305,0.026567843
15,ar,1982,1.190000057,9.800000191,10267.30273,54.47585678,0.650358021,22.96719933,0.328289986,21,36.71279907,0.204903007,7208.500488,no,no,no,550,102,64,36,5,62,24,61,18,271.4590149,2306998.5,121999.9922,121269.5,157000.0156,16630,9.699999809,57.79999924,-0.034733824
16,ar,1983,1.200000048,10.10000038,10433.48633,53.81479263,0.675458729,23.00090027,0.343409985,21,36.43009949,0.194169,7175.916992,no,no,no,557,88,47,35,2,65,19,73,22,247.8569946,2324999,118000.0703,120698.1016,159000.1719,16684,9.600000381,57.90000153,0.040144395
17,ar,1984,1.220000029,8.899999619,10916.4834,54.67127991,0.598901093,23.0345993,0.359239995,21,36.10400009,0.186379999,7084.819824,no,no,no,525,81,48,34,2,72,24,67,18,182.7070007,2346001.75,115000.0703,120129.3906,162000.0938,16621,7.5,59.50000381,0.083597317
18,ar,1985,1.120000005,8.699999809,11149.36426,54.97711945,0.57733053,23.06839943,0.37579,21,35.90499878,0.189291999,7253.917969,no,no,no,534,73,43,45,7,56,13,57,19,198.154007,2359001,113000.0234,119563.3672,161000.125,17112,7.199999809,60.10000229,0.004602179
19,ar,1986,0.920000017,8.699999809,11399.38086,55.56186295,0.562435508,23.10219955,0.393110007,21,39.56959915,0.161956996,7468.999023,no,no,no,603,108,67,48,7,66,22,78,22,237.5169983,2371000.5,115000.0781,119000,145000.0156,17709,7,60.70000076,0.029769236
20,ar,1987,1.00999999,8.100000381,11537,56.33089447,0.545000017,23.13610077,0.411229998,21,39.28789902,0.164131999,7665.830566,no,no,no,639,110,61,58,15,72,19,65,17,221.9049988,2387999.5,115999.9922,117000.875,142000.1406,18306,6.199999809,61.5,0.001930031
21,ar,1988,0.99000001,7.699999809,11760.34668,57.36695099,0.524542868,23.17000008,0.430180013,21,39.28789902,0.167540997,8024.625488,no,no,no,610,86,55,41,6,61,16,69,21,208.8500061,2395002.75,114000.0313,109999.1016,145999.9219,19219,5.5,62.30000305,0.033733506
22,ca,1982,2.210000038,9.899999619,15797.13574,59.51593018,0.10739857,1.723099947,1.678539991,21,0,0.190195993,6858.676758,no,no,no,4615,944,553,241,61,567,161,758,249,1379.130005,24785976,1157001.75,1321004.375,1892998.125,169999,9.699999809,57.79999924,-0.011686022
23,ca,1983,2.150000095,9.699999809,15970.18359,59.25233459,0.103211015,1.734699965,1.667919993,21,0,0.183568999,7216.291504,no,no,no,4573,856,487,232,39,513,141,702,206,1251.599976,25311062,1126000.5,1309863.125,1886001.75,182652,9.600000381,57.90000153,0.053036682
24,ca,1984,2.069999933,7.800000191,16590.10938,60.69825745,0.0989011,1.746399999,1.657359958,21,0,0.174131006,7619.175781,no,no,no,5020,957,559,267,68,593,177,770,215,1421.819946,25795048,1104999.875,1298815.875,1873999.125,196537,7.5,59.50000381,0.072460994
25,ca,1985,1.970000029,7.199999809,16985.16992,61.331707,0.095338985,1.758200049,1.646870017,21,0,0.167896003,7874.066895,no,no,no,4960,887,499,302,65,545,139,762,226,1243.920044,26365028,1106000.25,1287861.75,1854998.5,207600,7.199999809,60.10000229,0.048330504
26,ca,1986,1.850000024,6.699999809,17356.03711,62.00846863,0.092879258,1.770099998,1.636440039,21,0,0.164370999,8034.910156,no,no,no,5253,880,510,318,62,571,141,757,185,1309.910034,27001048,1172000.25,1277000,1766998.875,216951,7,60.70000076,0.04668143
27,ca,1987,1.779999971,5.800000191,17846,63.07429504,0.090000004,1.782099962,1.626080036,21,0,0.160681993,8180.633301,no,no,no,5504,944,531,302,50,601,137,717,199,1431.569946,27663018,1163001.25,1268012.75,1753999.75,226301,6.199999809,61.5,0.069736347
28,ca,1988,1.720000029,5.300000191,18049.08594,63.78365707,0.086621754,1.794100046,1.615779996,21,0,0.148683995,8531.990234,no,NA,NA,5390,936,541,246,48,583,144,702,197,1246.709961,28314028,1126998,1227988.875,1770000.75,241575.0156,5.5,62.30000305,0.04902038
29,co,1982,2.25,7.699999809,15082.33887,64.96673584,0.214797139,2.299999952,1.823009968,21,0.113150999,0.229148,7742.841797,no,no,yes,668,140,96,27,5,91,36,100,35,219.75,3071998.75,143000.1406,169956.8438,246000.0469,23786,9.699999809,57.79999924,0.012043049
30,co,1983,2.150000095,6.599999905,15131.88086,67.30021667,0.206422031,2.299999952,1.834619999,21,0.090821996,0.207657993,7656.062988,yes,no,yes,646,146,92,44,12,68,20,98,30,217.3500061,3149007.5,139999.875,167671.9688,243000.1094,24109,9.600000381,57.90000153,0.029179398
31,co,1984,2.150000095,5.599999905,15486.81348,68.66242218,0.197802201,2.299999952,1.846310019,21,0.075861998,0.192155004,7707.852539,yes,no,yes,608,104,73,53,14,71,14,101,28,202.9400024,3189993.5,137000.1094,165417.8125,239000.0781,24588,7.5,59.50000381,0.055347241
32,co,1985,2.049999952,5.900000095,15569.91504,67.85414886,0.190677971,2.299999952,1.858080029,21,0.074899003,0.192028001,8092.209473,yes,no,yes,579,96,63,35,7,58,16,100,28,186.7299957,3231008.75,137000.2344,163193.9531,232999.7656,26146,7.199999809,60.10000229,0.024307648
33,co,1986,1.809999943,7.400000095,15616.09863,64.98344421,0.185758516,2.299999952,1.869910002,21,0.074097,0.192100003,8131.374512,yes,no,yes,603,116,75,50,9,76,18,101,37,175.3699951,3265991.5,147000.0156,161000,220999.7969,26557,7,60.70000076,0.016526096
34,co,1987,1.779999971,7.699999809,15605,64.21829987,0.180000007,2.299999952,1.881829977,21,0.05807,0.192999005,8182.027832,yes,no,yes,591,90,64,42,7,54,16,59,16,140.2599945,3296004.5,143999.8281,156999.5625,216000.1094,26968,6.199999809,61.5,-0.023582309
35,co,1988,1.74000001,6.400000095,15845.04297,65.30445099,0.173243508,2.299999952,1.893820047,21,0.05807,0.180260003,8380.768555,yes,no,yes,497,93,66,33,6,44,16,69,23,132.9499969,3301009.75,136000.0313,149001.0156,208999.7188,27664.99805,5.5,62.30000305,0.008626046
36,ct,1982,2.420000076,6.900000095,17255.36914,61.72941971,0.224343672,0.100000001,0.233309999,18.5,0.227054998,0.192840993,6440.053711,no,no,no,515,158,90,39,8,86,35,96,42,195.1100006,3126992.5,169999.8281,162300.1406,216000.2031,20138,9.699999809,57.79999924,-0.002988006
37,ct,1983,2.460000038,6,17744.26563,62.29440689,0.23356308,0.100000001,0.251980007,19.25,0.082803003,0.189349994,6570.042969,no,no,no,438,118,85,29,11,61,28,87,31,171.2200012,3140010,164000.25,160443.4844,215999.875,20630,9.600000381,57.90000153,0.073626325
38,ct,1984,2.410000086,4.599999905,18760.43945,65.03468323,0.248010993,0.100000001,0.272159994,20,0.080633998,0.181857005,6680.192871,no,no,no,469,126,85,32,6,65,25,81,30,171.6999969,3154998.75,158999.8906,158608.0781,216000,21076,7.5,59.50000381,0.077820003
39,ct,1985,2.410000086,4.900000095,19312.5,65.91092682,0.239078403,0.100000001,0.293949991,20.32999992,0.080150999,0.178947002,6979.214844,no,yes,yes,448,103,71,35,1,53,15,64,24,150.75,3173996,155000.3125,156793.6563,216000.2188,22152,7.199999809,60.10000229,0.050584491
40,ct,1986,2.309999943,3.799999952,20152.73438,67.24276733,0.232910231,0.100000001,0.317479998,21,0.079861999,0.171669006,7661.744629,no,yes,yes,450,114,63,37,11,56,14,63,26,145.75,3193006.5,152000.0313,155000,2.00E+05,24464,7,60.70000076,0.063690655
41,ct,1987,2.25,3.299999952,21192,67.63767242,0.225690007,0.100000001,0.342900008,21,0.080972001,0.166008994,8338.53418,no,yes,yes,449,102,61,31,3,42,11,69,30,165.5099945,3210996,145999.8438,150000,194000.0625,26775,6.199999809,61.5,0.07573688
42,ct,1988,2.150000095,3,22193.45508,67.06396484,0.217218488,0.100000001,0.370350003,21,0.080972001,0.157067999,8061.235352,no,yes,yes,484,93,62,40,7,57,17,76,32,135.4199982,3233003.25,135999.8281,143000.5,201999.7969,26062,5.5,62.30000305,0.051211424
43,de,1982,2.589999914,8.5,14263.72363,60.3104248,0.173031017,0.699999988,0.200000003,20,0,0.205542997,7651.653809,yes,no,no,122,34,23,5,2,24,9,23,14,45.65000153,600001,31000.0625,36772.89844,47999.96484,4591,9.699999809,57.79999924,0.007968531
44,de,1983,2.630000114,8.100000381,14500,59.86841965,0.166284397,0.699999988,0.200000003,20,0,0.199483007,8062.699707,yes,no,no,110,26,14,8,2,9,3,18,7,33,606000.5,29999.96289,36059.16406,48000,4886,9.600000381,57.90000153,0.056711283
45,de,1984,2.569999933,6.199999809,14925.27441,62.41901016,0.15934065,0.699999988,0.200000003,21,0,0.193182006,8368.0625,yes,no,no,130,28,16,8,0,15,3,17,8,28.68000031,614001.125,29000.00781,35359.27734,47000.01563,5138,7.5,59.50000381,0.052361224
46,de,1985,2.549999952,5.300000191,15408.89844,63.55932236,0.153601691,0.699999988,0.200000003,21,0,0.183341995,8625.424805,yes,no,no,104,21,12,7,2,10,2,21,3,38.88000107,621998.375,27999.99805,34672.97656,46999.94922,5365,7.199999809,60.10000229,0.037800748
47,de,1986,2.420000076,4.300000191,15822.49707,64.58332825,0.149638802,0.699999988,0.200000003,21,0,0.177616999,9045.817383,yes,no,no,136,33,20,10,5,18,6,22,8,45.54999924,632999.75,28999.96484,34000,41000.02734,5726,7,60.70000076,0.039940491
48,de,1987,2.369999886,3.200000048,16407,65.5102005,0.144999996,0.699999988,0.200000003,21,0,0.169046998,9450.307617,yes,no,no,146,27,16,9,3,9,1,24,10,41.84000015,644000.1875,28999.98438,33999.47266,40999.99219,6086,6.199999809,61.5,0.061463118
49,de,1988,2.319999933,3.200000048,16998.07422,67.59999847,0.139557257,0.699999988,0.200000003,21,0,0.158750996,9703.020508,yes,no,no,160,32,18,9,1,19,2,20,7,42.84000015,660000.6875,27999.96289,30000.15625,45000.04297,6404,5.5,62.30000305,0.071447544
50,fl,1982,2.50999999,8.199999809,13502.38672,53.4878006,1.073985696,9.152600288,0.400000006,19,0,0.181475997,7587.129883,yes,no,yes,2653,587,282,148,35,259,86,350,123,810.7600098,10478007,476999.2813,492108.4063,687999.9375,79498,9.699999809,57.79999924,0.005385397
51,fl,1983,2.460000038,8.600000381,13924.31152,53.72707748,1.170412779,8.936699867,0.400000006,19,0,0.177945003,7604.254395,yes,no,yes,2686,562,291,132,30,274,92,317,110,963.9000244,10753980,467000.4063,497250.1563,701000.1875,81776,9.600000381,57.90000153,0.077084795
52,fl,1984,2.349999905,6.300000191,14307.69238,55.6210289,1.186813235,8.725999832,0.400000006,19,0,0.178719997,7735.304688,yes,no,yes,2814,566,311,150,29,270,88,344,129,744.3800049,11049985,459000.5625,502445.6563,713000.6875,85475,7.5,59.50000381,0.08084242
53,fl,1985,2.269999981,6,14760.59277,56.36853409,1.144067883,8.520199776,0.400000006,20,0,0.170072004,7747.311035,yes,no,yes,2832,490,254,146,24,239,79,341,101,690.2000122,11366008,456999.7813,507695.375,718999.75,88056,7.199999809,60.10000229,0.059289411
54,fl,1986,2.24000001,5.699999809,15102.16699,57.44054413,1.114551187,8.319299698,0.400000006,21,0,0.162554994,7768.755859,yes,no,yes,2830,530,296,173,39,263,92,347,94,806.8400269,11694022,474999.375,513000,670999.5,90848,7,60.70000076,0.053569589
55,fl,1987,2.170000076,5.300000191,15584,58.94334793,1.080000043,8.123100281,0.400000006,21,0,0.161257997,7788.330566,yes,no,yes,2839,493,262,166,32,227,75,326,94,778.9699707,12022987,483000.4063,512994.3438,670000.25,93639,6.199999809,61.5,0.062531143
56,fl,1988,2.079999924,5,15979.78809,59.7909317,1.039461017,7.931600094,0.400000006,21,0,0.157563001,8538.230469,yes,no,yes,3078,573,315,184,42,278,73,382,145,794.75,12334992,477000.2813,492000.5938,698999.9375,105319.0078,5.5,62.30000305,0.050752144
57,ga,1982,1.940000057,7.800000191,11774.46289,60.07344055,2.720763683,24.65609932,0.42640999,19,0.498939991,0.210263997,8623.444336,no,no,no,1229,225,132,90,16,131,41,161,59,443.230011,5650990.5,303999.625,323855.625,420999.7813,48731.00391,9.699999809,57.79999924,0.006098161
58,ga,1983,1.99000001,7.5,12237.38574,59.85541916,2.61467886,24.38850021,0.440259993,19,0.499909997,0.206981003,8518.589844,no,no,no,1296,217,134,97,19,141,45,160,41,389.5,5732991,297000.3125,324141.3438,427000.3125,48837,9.600000381,57.90000153,0.079037391
59,ga,1984,1.970000029,6,12957.14258,61.21197891,2.505494356,24.12389946,0.454560012,19,0.450190008,0.205331996,8641.914063,no,no,no,1410,252,146,124,31,167,47,168,48,436.75,5841993,293000.125,324427.3125,432999.75,50486,7.5,59.50000381,0.102004938
60,ga,1985,1.929999948,6.5,13364.40723,61.65137863,2.415254116,23.8621006,0.469319999,19.25,0.433169991,0.194928005,8988.107422,no,no,no,1361,198,124,95,16,151,37,163,38,400.1300049,5976008,294000.2188,324713.5313,439000.4688,53713,7.199999809,60.10000229,0.052405592
61,ga,1986,1.769999981,5.900000095,13891.64063,63.30336761,2.352941036,23.60320091,0.484569997,20.25,0.424589992,0.188868999,9344.767578,no,no,no,1530,263,165,119,22,153,41,183,49,463.1300049,6099991.5,310999.7188,325000,411999.7813,57003.00391,7,60.70000076,0.065295093
62,ga,1987,1.75,5.5,14306,63.32088852,2.279999971,23.3470993,0.50029999,21,0.207279995,0.184329003,9690.28125,no,no,no,1599,264,164,113,13,134,29,190,49,470.4299927,6222007.5,315000.125,324000.1875,411000.0938,60293.00391,6.199999809,61.5,0.06480597
63,ga,1988,1.720000029,5.800000191,14687.19922,64.0638504,2.194417715,23.09379959,0.516560018,21,0.207279995,0.174882993,9817.395508,no,no,no,1653,272,171,125,15,171,49,170,49,484.8800049,6342008,312000.0313,307001.8125,425000,62262,5.5,62.30000305,0.044321559
64,id,1982,1.389999986,9.800000191,11078.75879,58.8235321,0.402744651,1.023689985,25.15749931,19,0,0.233786002,8033.751953,no,no,no,256,47,24,29,4,38,10,32,13,76.79000092,977998.8125,47999.97266,52247.95703,69000.01563,7857,9.699999809,57.79999924,-0.05412031
65,id,1983,1.299999952,9.800000191,11346.33008,59.85507202,0.387041301,1.035740018,24.98789978,19,0,0.228551,8387.641602,no,no,no,263,44,31,15,4,38,12,36,6,88.27999878,988001.25,46999.99219,51676.66406,69000.01563,8287,9.600000381,57.90000153,0.045208
66,id,1984,1.279999971,7.199999809,11386.81348,61.3733902,0.370879114,1.047940016,24.81959915,19,0,0.218235999,7775.768066,no,no,no,242,34,22,24,2,26,8,33,7,79.66000366,999001,47000.02734,51111.61719,68000.01563,7768,7.5,59.50000381,0.03872868
67,id,1985,1.179999948,7.900000095,11459.74609,61.28571701,0.357521206,1.060279965,24.65229988,19,0,0.212605998,7671.631836,no,no,no,255,53,34,17,7,38,13,27,9,73.65000153,1005001.313,47000.01563,50552.75391,64999.94141,7710,7.199999809,60.10000229,0.021042932
68,id,1986,1.120000005,8.699999809,11541.7959,61.10325623,0.348297209,1.07277,24.48620033,19,0,0.207312003,7899.200684,no,no,no,258,48,35,33,5,31,10,32,9,84.01999664,1002000.125,49000.03125,50000,62999.94141,7915,7,60.70000076,-0.015105814
69,id,1987,1.059999943,8,11859,61.18143082,0.337500006,1.085399985,24.32119942,20.5,0,0.202262998,8135.268555,no,no,no,262,53,39,22,5,34,11,34,11,78.18000031,998000.25,48999.95703,48000.22656,61000.00391,8119,6.199999809,61.5,0.000564253
70,id,1988,1.070000052,5.800000191,12189.60547,62.90097809,0.324831575,1.098180056,24.15730095,21,0,0.189994007,8102.682129,no,no,no,257,36,25,22,4,30,6,30,6,72.80000305,1003001.188,48000.03516,46999.83984,56999.97656,8127,5.5,62.30000305,0.049587458
71,il,1982,2.039999962,11.30000019,14743.43652,58.07431793,0.188544154,2.346970081,0.2333,21,6.403550148,0.209362,5696.534668,no,no,no,1651,418,229,106,23,203,80,224,98,532.9899902,11478031,583000.5625,618339,839999,65385,9.699999809,57.79999924,-0.039935548
72,il,1983,1.960000038,11.39999962,14745.41309,57.74565887,0.181192666,2.370810032,0.252000004,21,6.396309853,0.205004007,5862.868164,no,no,no,1526,362,201,96,18,187,64,195,85,501.1000061,11490963,559998.625,605350.75,827000.0625,67370,9.600000381,57.90000153,0.010906678
73,il,1984,1.929999948,9.100000381,15390.11035,59.13628769,0.173626378,2.394900084,0.272199988,21,6.379099846,0.195511997,6067.52832,no,no,no,1547,343,206,99,27,179,62,231,72,462.2799988,11521990,541001.3125,592635.25,816000.625,69910,7.5,59.50000381,0.068904206
74,il,1985,1.860000014,9,15602.75391,59.70356369,0.167372882,2.419229984,0.293900013,21,6.371910095,0.192187995,6141.67627,no,no,no,1534,304,162,73,13,162,45,232,82,396.6900024,11534962,529999.4375,580186.875,796998.875,70844,7.199999809,60.10000229,0.01876254
75,il,1986,1.75,8.100000381,15988.64844,60.34324265,0.163054705,2.443809986,0.317499995,21,4.473209858,0.185556993,6345.777344,no,no,no,1596,354,207,108,20,178,64,238,98,475.6700134,11550988,541000.875,568000,741999.3125,73300,7,60.70000076,0.03088077
76,il,1987,1.679999948,7.400000095,16417,60.99988937,0.158000007,2.468630075,0.342900008,21,4.461229801,0.182501003,6540.846191,yes,no,no,1660,326,183,100,18,173,54,225,66,437.1099854,11581988,531999.8125,552998.3125,723000.75,75756,6.199999809,61.5,0.026368385
77,il,1988,1.629999995,6.800000191,16915.30273,61.59708405,0.1520693,2.493710041,0.370299995,21,4.461229801,0.170911998,6757.612793,yes,no,no,1837,364,228,110,23,210,68,225,63,506.8500061,11614013,508001,517994.125,730998.875,78483,5.5,62.30000305,0.045050338
78,in,1982,1.440000057,11.89999962,12282.81641,56.42292404,0.309132457,1.804430008,0.328299999,21,0,0.202989995,7149.91748,yes,no,no,961,235,131,65,21,127,45,141,53,348.8900146,5483000.5,284000.2813,310440.2813,412000.0313,39203,9.699999809,57.79999924,-0.064519919
79,in,1983,1.389999986,11.10000038,12364.67871,56.48422241,0.297079116,1.859019995,0.343400002,21,0,0.180197999,7277.506348,yes,no,no,1016,212,130,65,11,130,43,146,56,346.769989,5473990.5,271999.5313,303874.875,404999.7813,39837,9.600000381,57.90000153,0.015555702
80,in,1984,1.389999986,8.600000381,13008.79102,58.71964645,0.284673631,1.915269971,0.359200001,21,0,0.103285998,7478.887207,no,no,no,925,191,119,83,20,102,32,137,54,351.4500122,5491993.5,263999.9375,297448.2813,399000.4688,41074,7.5,59.50000381,0.077305168
81,in,1985,1.389999986,7.900000095,13161.0166,61.43695068,0.27442053,1.973209977,0.375800014,21,0,0.185119003,7416.25293,no,no,no,974,166,93,77,14,109,31,157,52,302.4500122,5499003.5,259999.8594,291157.625,388000.1875,40782,7.199999809,60.10000229,0.016891468
82,in,1986,1.279999971,6.699999809,13582.04297,62.45145798,0.267340541,2.032919884,0.393099993,21,0,0.120420001,7714.322266,no,no,no,1038,192,131,83,15,119,34,142,55,290.3099976,5503011,270000.375,285000,358000.0313,42452,7,60.70000076,0.030762155
83,in,1987,1.289999962,6.400000095,13937,61.92881393,0.259052992,2.094419956,0.411199987,21,0,0.097662002,7977.21582,no,no,no,1055,194,123,100,20,99,32,118,38,254.8600006,5531002.5,270000.2813,278998.9688,351000.3438,44122,6.199999809,61.5,0.040988639
